curve,observable,ensemble_group,embedding_dimension,n_points_used,steps_used,coordinate_step,threshold_trimmed,quality_status,Exp1,Exp2,LLE,sum_exponents,positive_count,KS_entropy_proxy,Kaplan_Yorke_dim,Exp3,Exp4,Exp5
csda_range_g_cm2,csda_range_g_cm2,csda_range,2,80,78,0.14391156831212787,False,valid,0.971337609051935,-0.5663678058785455,0.971337609051935,0.4049698031733895,1,0.971337609051935,2.0,,,
csda_range_g_cm2,csda_range_g_cm2,csda_range,3,79,77,0.14391156831212787,False,valid,1.0315575106996386,0.5045120493156237,1.0315575106996386,-4.284304313035783,2,1.5360695600152623,2.2639125240952587,-5.820373873051045,,
csda_range_g_cm2,csda_range_g_cm2,csda_range,4,78,76,0.14391156831212787,False,valid,1.2783696641526283,0.4276675199488701,1.2783696641526283,-3.455087999607695,2,1.7060371841014983,2.9174213153617115,-1.8596005516047354,-3.301524632104458,
csda_range_g_cm2,csda_range_g_cm2,csda_range,5,77,75,0.14391156831212787,False,valid,1.6114519991335292,0.7887653370540523,1.6114519991335292,1.131137659094437,3,2.6823512048147027,5.0,0.28213386862712125,-0.5355608546854184,-1.0156526910348473
radiation_yield,radiation_yield,radiation_yield,2,80,78,0.14391156831212787,False,valid,0.8089938129185361,-1.1437378187405038,0.8089938129185361,-0.3347440058219677,1,0.8089938129185361,1.7073245281061888,,,
radiation_yield,radiation_yield,radiation_yield,3,79,77,0.14391156831212787,False,valid,0.7939895209238076,-1.0879580294839335,0.7939895209238076,-6.6414916409752625,1,0.7939895209238076,1.7297979328299107,-6.347523132415136,,
radiation_yield,radiation_yield,radiation_yield,4,78,76,0.14391156831212787,False,valid,0.9680193620243251,0.023018607937539844,0.9680193620243251,-6.433646761594703,2,0.991037969961865,2.3355927875252736,-2.953096749395708,-4.471587982160861,
radiation_yield,radiation_yield,radiation_yield,5,77,75,0.14391156831212787,False,valid,0.8272313989557936,0.6007680482499074,0.8272313989557936,-3.772518117409202,2,1.427999447205701,3.481624261493908,-0.6657685623181739,-1.5826255980600907,-2.952123404236638
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,2,80,78,0.14391156831212787,False,valid,-0.5010704505809859,-1.175872968678956,-0.5010704505809859,-1.676943419259942,0,0.0,0.0,,,
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,3,79,77,0.14391156831212787,False,valid,-0.238617258147175,-1.7819144543033738,-0.238617258147175,-7.988623177220958,0,0.0,0.0,-5.96809146477041,,
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,4,78,76,0.14391156831212787,False,valid,-0.2169245604487401,-1.426070525298626,-0.2169245604487401,-11.369691906486633,0,0.0,0.0,-3.4164720219873854,-6.310224798751881,
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,5,77,75,0.14391156831212787,False,valid,-0.16123660662077086,-0.9167132190723775,-0.16123660662077086,-8.70390363555807,0,0.0,0.0,-1.250935408999545,-1.9239926802178964,-4.451025720647482
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,2,80,78,0.14391156831212787,False,valid,1.4846246066783972,-5.492791958449239,1.4846246066783972,-4.008167351770841,1,1.4846246066783972,1.2702859707610838,,,
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,3,79,77,0.14391156831212787,False,valid,1.2588425991150076,-3.132052559841753,1.2588425991150076,-7.109618675521772,1,1.2588425991150076,1.4019225651750267,-5.236408714795027,,
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,4,78,76,0.14391156831212787,False,valid,1.3972333436790678,-0.8404146976654588,1.3972333436790678,-6.602799948840629,1,1.3972333436790678,2.200931667796347,-2.7711841150782077,-4.388434479776031,
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,5,77,75,0.14391156831212787,False,valid,1.336495419590067,0.2811736206383327,1.336495419590067,-1.467335582781481,3,1.7153055820361054,4.307189102132478,0.09763654180770576,-1.0646958679144063,-2.11794529690318
